"","min_connectivity_min","min_connectivity_average","avg_connectivity_min","avg_connectivity_average","n_samples","rmse","consistency_location","consistency_angles"
"99",0,0.0540227018979995,0.025,0.0870662170290163,15,0.405695488213037,0.861398293846353,0.821631679001867
"100",0,0.0920809317832406,0.1,0.172695410388452,15,0.132335160216526,0.852614092339755,0.816853579906859
"101",0,0.00583733997217611,0,0.0184399898858615,15,0.163270962669224,0.900561680356803,0.865819639940804
"102",0,0.0350590235307053,0,0.0792791384197257,15,0.316167087324883,0.886245400966803,0.854523190977514
"103",0.05,0.0922392789180334,0.125,0.149520471836565,15,0.277881017505609,0.850183822984049,0.833670004047755
"104",0,0.0564514270949733,0.025,0.100977839104005,15,0.211191581077144,0.865199866131103,0.816365137352014
"105",0.05,0.170387493614775,0.15,0.233736640837049,15,0.105322198173717,0.825760238664746,0.829699588335323
"106",0.05,0.128991680431025,0.075,0.150184656968269,15,0.240119074088317,0.871711362424171,0.834279791908197
"107",0.05,0.193910882586783,0.05,0.196649146220378,15,0.286425814278787,0.812175947139785,0.794238476121446
"108",0,0.166013060031815,0.125,0.235696577635949,15,0.219189764815445,0.843541215310278,0.817388529522492
"109",0.1,0.325599324907888,0.15,0.326594204259285,15,0.162037203650453,0.810335631344152,0.796049509171377
"110",0.05,0.11121474502117,0.075,0.202512628189932,15,0.258858363090913,0.859514207605067,0.838981023936515
"111",0.05,0.0786242802020909,0.05,0.107420785422415,15,0.40996723662969,0.84920804869301,0.830420020819795
"112",0,0.0244901620364346,0.025,0.0641117305645177,15,0.229700151941695,0.874380107684683,0.841344447294174
"113",0,0.111971807004357,0.025,0.115872993372837,15,0.422694698030192,0.862049018027356,0.823838448880629
"114",0,0.1125,0.025,0.200532136368624,15,0.186454365380693,0.806541004391682,0.789812196862704
"115",0.25,0.320062520926085,0.35,0.402385666558529,15,0.141234916824579,0.816011739748802,0.806926308223121
"116",0.05,0.138893102303507,0.075,0.148111087575,15,0.173438712826667,0.852501758848654,0.819361147841516
"117",0,0.0125,0,0.0314242067166893,15,0.272554403796785,0.894262996303069,0.840982991586751
"118",0.05,0.103230979356248,0.1,0.141440466831593,15,0.350951842830276,0.869232932548145,0.825795676060497
"119",0.2,0.377951118031339,0.25,0.378272429181707,15,0.31758661484544,0.832271692274511,0.796593988218284
"120",0.05,0.198193242913073,0.1,0.211077517061965,15,0.154333389981214,0.849277893357595,0.803718238502522
"121",0.05,0.204015125501167,0.075,0.219373557572221,15,0.135816108632467,0.851625152678545,0.810091155602474
"122",0,0.110758371563346,0.1,0.250560766683425,15,0.290613488720681,0.836188838280126,0.790175258942854
"123",0,0.074804714168774,0,0.088500922110591,15,0.108345203268325,0.863715282718148,0.830508510075649
"124",0.05,0.106891700415803,0.05,0.192294572928507,15,0.370794376495199,0.847852827971727,0.828087110124918
"125",0.15,0.245750760704239,0.225,0.294620796526538,15,0.362616504366066,0.839469684720515,0.807095858523266
"126",0,0.210951617310017,0.125,0.261922104100587,15,0.173297191200849,0.848100643821126,0.813841608075319
"127",0.05,0.133069304492676,0.15,0.22397815116314,15,0.309998831267059,0.805433889619831,0.788565918039749
"128",0,0.0242231655469342,0.05,0.117895495015587,15,0.23420014437896,0.884990698372487,0.837610558949613
"129",0.05,0.16823458300704,0.05,0.3022176679483,15,0.275036826853917,0.821110040157033,0.793433835839968
"130",0.2,0.284413413927697,0.275,0.373241524866792,15,0.247640236272725,0.839377563155834,0.821463346477826
"131",0.15,0.207919059121622,0.15,0.236747807429484,15,0.253190695646415,0.795680418143936,0.788265340455164
"132",0.05,0.105730721511589,0.05,0.181058230074935,15,0.264536441693327,0.845090970832457,0.816827681030944
"133",0.15,0.317434821868686,0.2,0.363992457957802,15,0.352784637650649,0.821788494062389,0.778343514586131
"134",0,0.0592785401530573,0.05,0.118902962792431,15,0.111348916722152,0.882792348616638,0.824035056933673
"135",0,0.0398323206278677,0.15,0.240658792741715,15,0.135229177939775,0.837371988301815,0.83124326593232
"136",0,0.0183024707851445,0.1,0.125378447596425,15,0.394190993605609,0.840262724096197,0.817420691530271
"137",0.05,0.0670339945305231,0.05,0.0824437490045948,15,0.109733539699832,0.872895163967869,0.822771721516294
"138",0.05,0.159790866610419,0.125,0.278937435125712,15,0.209635341479248,0.855678488255303,0.811601518040228
"139",0,0.0565002408101612,0.25,0.297120388334772,15,0.127450224772581,0.850608324589669,0.831833744865903
"140",0.05,0.214490571237579,0.075,0.219170200726384,15,0.273928804124789,0.815071850709464,0.806344281247286
"141",0.1,0.133124011430337,0.125,0.16419001633706,15,0.170198796949936,0.852431586005679,0.821035419057619
"142",0,0.0396578179963849,0.125,0.235968104885921,15,0.269059162521446,0.830774818889254,0.80528134996961
"143",0.1,0.261484265788832,0.175,0.270492714401398,15,0.33507887691232,0.839328610626516,0.81583874848265
"144",0.05,0.103474563750387,0.1,0.18706603921352,15,0.398829418365832,0.849058059498072,0.820442071521254
"145",0.1,0.189725901132277,0.125,0.231257493101555,15,0.287406694823282,0.83906421107598,0.802489890241114
"146",0.05,0.105706792248268,0.1,0.190751021358088,15,0.341041390068007,0.836354337863513,0.82997007266376
"147",0.15,0.203006310422413,0.225,0.325767379032756,15,0.264451810392599,0.823294682205443,0.78601965962777
"148",0.05,0.230970893312409,0.15,0.336574865196169,15,0.349274170792472,0.823245753630381,0.782248184598683
"149",0.25,0.354928352127689,0.3,0.364502448565518,15,0.227977782619339,0.805540342831625,0.779365834722107
"150",0,0.0617724869396868,0.05,0.147220701317298,15,0.118691765994684,0.836832777128068,0.820647870613446
"151",0.1,0.173822822346507,0.15,0.255292794818663,15,0.292413357204116,0.815987024636132,0.787308957911518
"152",0.05,0.360199173052502,0.1,0.38208166572407,15,0.411401774119049,0.829387663074177,0.777229454601085
"153",0,0.00516581632653061,0.025,0.0841003186813193,15,0.36132017246671,0.891223751663932,0.846475167479545
"154",0,0.02684819068375,0.05,0.194232069250735,15,0.223710777129084,0.834793476184615,0.806073096844278
"155",0,0.0838603189908299,0,0.159823414392292,15,0.378952756326304,0.850547900435946,0.82864938449147
"156",0.2,0.475201337410966,0.425,0.600143276058127,15,0.397777042348111,0.766039004879986,0.761871854586459
"157",0,0.052768814872033,0.025,0.0884629274272537,15,0.203982503156429,0.873787258457397,0.828638265688347
"158",0,0.0687434526026203,0.075,0.2054836541875,15,0.118579952009943,0.822298989553122,0.795609622895015
"159",0,0.0222609320847734,0.025,0.0679905563732688,15,0.281677455368742,0.89449735412166,0.847743380160685
"160",0,0.0321312251762268,0,0.0465345421871739,15,0.20363557183632,0.858901008469121,0.830281661579273
"161",0,0.00355555555555556,0,0.0616183407579329,15,0.336970848787672,0.902888791178542,0.852154111346992
"162",0,0.116822778526404,0.025,0.117320575787627,15,0.225421814185397,0.874285095742465,0.842804432666694
"163",0.05,0.159449367955186,0.1,0.173877704308014,15,0.364286359140955,0.867280733185649,0.823519032299688
"164",0.05,0.0571418550329596,0.25,0.289384948495827,15,0.452743265532231,0.836404412447899,0.829246975368767
"165",0,0.0842527038494505,0.05,0.120210509252517,15,0.288900852504078,0.85841181854615,0.830127607245569
"166",0,0.0608884927394191,0.125,0.207860231452084,15,0.323265864493188,0.796342632125504,0.784733651184538
"167",0.15,0.478562384901555,0.45,0.629340766712534,15,0.334664577587569,0.793705179172576,0.79424115827888
"168",0.15,0.225441895263756,0.175,0.296878840031936,15,0.200441637818859,0.84487671189295,0.812910102226405
"169",0,0.0452218771533316,0.05,0.0989168077102957,15,0.193078359099244,0.863653974092759,0.8298349187818
"170",0.05,0.10904438573605,0.05,0.153896992955664,15,0.365546065313377,0.85136271040571,0.814236783160318
"171",0.1,0.218981631807098,0.1,0.287038756010973,15,0.207049934937063,0.835371456188966,0.818514832333017
"172",0.05,0.1284602243014,0.075,0.158191050227464,15,0.248283656841096,0.867703469036002,0.817137411522343
"173",0.05,0.19368432231199,0.1,0.221266361716403,15,0.296395989624974,0.858929755068501,0.803104485208224
"174",0,0.0170873004391112,0.1,0.149687520248764,15,0.204406335628161,0.853313130761113,0.810057974126893
"175",0.25,0.538756806744593,0.425,0.592024681642312,15,0.218475114334476,0.772185306045131,0.778021416699653
"176",0,0.0499459324676633,0.05,0.136712341518943,15,0.168939386617056,0.858864132506692,0.843323846960457
"177",0,0.169722480749585,0.05,0.22912599247307,15,0.146282492696306,0.817868792344096,0.775553385042531
"178",0.1,0.22459287672501,0.3,0.398938406763142,15,0.286263292222474,0.83905648186967,0.795662387421079
"179",0,0.161498447189992,0,0.224766473865851,15,0.168126833591261,0.820952622545436,0.806751086582386
"180",0,0.242120090499997,0.1,0.266770723368653,15,0.410412636221331,0.84497098227494,0.808758344851459
"181",0,0.0761826166457995,0.025,0.227584546645189,15,0.175538808606728,0.851897385982252,0.810740354518554
"182",0.05,0.0727760210360586,0.05,0.0814838608459026,15,0.226149443251178,0.875660129940872,0.849894673757265
"183",0,0.0937387965772716,0.025,0.103733774728544,15,0.209804257715369,0.865703116582268,0.831274305514142
"184",0.05,0.0969692872641036,0.15,0.191109394397885,15,0.341260820367721,0.84604038808621,0.80532394146345
"185",0,0.051846554707504,0.125,0.192426978010009,15,0.444598476438678,0.874685847395648,0.828145087111602
"186",0,0.0222953268342796,0.175,0.225874007479155,15,0.282259173371107,0.835970200702269,0.806436479767639
"187",0,0.0485702260395516,0,0.0843422418935844,15,0.205715542859659,0.866337879100544,0.824156015263625
"188",0.05,0.202333797551954,0.15,0.276320605133112,15,0.324231176261199,0.78877394572798,0.778107660557513
"189",0,0.0425895400883609,0.025,0.115807005884928,15,0.204165646305761,0.868575953795019,0.815677005501298
"190",0.1,0.363786103814819,0.425,0.564853360514894,15,0.245303231642429,0.74503184704161,0.765579316716531
"191",0,0.00694444444444444,0,0.0280478277699409,15,0.128446962625937,0.906240320304633,0.861438532137559
"192",0.05,0.204902529431379,0.075,0.258954231804334,15,0.167372233496079,0.855441740748148,0.823403993016833
"193",0,0.0373303027798234,0.1,0.134934424880742,15,0.210888385912511,0.839207544203408,0.818713255840076
"194",0.05,0.169779256907206,0.1,0.203662080489301,15,0.221290211542202,0.854089727005256,0.832326535999124
"195",0.05,0.162687013903945,0.075,0.177224779314013,15,0.114832257135245,0.843359668026432,0.797348926839873
"196",0,0.115873821321848,0.025,0.123288859573072,15,0.230559355982263,0.856097466353536,0.834894939799093
"197",0.05,0.208541750675779,0.2,0.289344124579059,15,0.174933292095066,0.804825749525334,0.796406012568849
"198",0.05,0.0784162190305502,0.1,0.129863873137614,15,0.443529320610873,0.86072491898999,0.840301387397657
"199",0.05,0.234268409963933,0.2,0.341138569733426,15,0.27456586917145,0.830611633936248,0.811534586829762
